Name,info,longitude,latitude,add1,add2
Amnicon Falls State Park Campground,(715) 398-3000,-91.889755,46.608000,add1,add2
Big Blaze Campground & Cabins,(218) 834-2512,-91.758333,46.968000,add1,add2
Big Lake Shores Campground,(218) 879-1819,-92.621000,46.701612,add1,add2
Buffalo Valley Campground,(218) 624-9901,-92.296640,46.698000,add1,add2
Burlington Bay Campground,(218) 834-2021,-91.661000,47.020729,add1,add2
Knife River Campground (Depot),(218) 834-5044,-91.783288,46.948000,add1,add2
Indian Point Campground,(218) 628-4977,-92.184514,46.722000,add1,add2
Eagle's Nest Resort & Campground,(218) 721-4147,-92.217420,46.952000,add1,add2
Jay Cooke State Park Campground,(218) 384-4610,-92.411315,46.665000,add1,add2
Island Beach Campground,(218) 721-3292,-92.196324,46.992000,add1,add2
KOA Campground,(218) 879-5726,-92.439971,46.680000,add1,add2
Knife Island Campground,(218) 879-6063,-92.416184,46.703000,add1,add2
Nemadji RV Park,(715) 398-6366,-92.039000,46.695710,add1,add2
Northland Camping & RV Park,(715) 398-3327,-91.974664,46.648237,add1,add2
Pattison State Park Campground,(715) 399-3111,-92.119000,46.520830,add1,add2
Ogston RV Park,(218) 729-9528,-92.330482,46.872000,add1,add2
Penmarallter Campground,(218) 834-4603,-91.729499,46.994000,add1,add2
River Place Campground,(218) 626-1390,-92.225000,46.653738,add1,add2
Saginaw Campground,(218) 729-4908/(218) 729-7795,-92.416574,46.845000,add1,add2
Snowflake Walk-in Primitive Tent Campsites,(218) 726-1550/(218) 724-9022,-92.139436,46.831000,add1,add2
Spirit Lake Marina & RV Park,(218) 628-3575,-92.202827,46.707000,add1,add2
The Park Campground,(218) 723-1616,-92.217717,46.837000,add1,add2
Wagon Wheel Campground,(218) 834-4901,-91.741688,46.982000,add1,add2
Spirit Mountain Campground,"(218) 624-8544/(800) 642-6377, ext. 544",-92.221000,46.715224,add1,add2
